"KensaResult(OK,/NG)",KensaTime,KensaSagyoushaName,DetectedPitch,TotalLength,KensaYarinaoshi
"(1, 0)",20240405_140712,,"[21.15, 94.3, 93.8, 54.74, 42.05, 16.67]",322.7,False
"(0, 1)",20240408_215926,,[],0,
"(0, 2)",20240408_215929,,[],0,False
"(0, 3)",20240408_215932,,[],0,False
"(0, 1)",20240408_222002,,[],0,
"(0, 2)",20240408_222006,,[],0,False
"(0, 3)",20240408_222009,,[],0,False
"(0, 1)",20240408_222207,,[],0,
"(0, 1)",20240408_223531,,[],0,
"(0, 1)",20240424_132458,,"[19.1, 0.9, 96.63, 101.07, 58.49, 45.28, 14.63]",336.1,False
"(0, 2)",20240424_132501,,"[19.1, 1.24, 96.64, 101.07, 58.74, 45.04, 14.63]",336.46,False
"(0, 3)",20240424_132533,,"[97.03, 101.77, 3.74, 54.5, 45.03]",302.08,False
"(0, 4)",20240424_132536,,"[96.78, 105.51, 54.5, 44.78]",301.57,False
"(0, 5)",20240424_132539,,"[96.79, 98.53, 7.04, 54.49, 45.03]",301.88,False
"(0, 6)",20240424_132542,,"[97.04, 98.53, 6.79, 54.49, 44.78]",301.63,False
"(0, 7)",20240424_132546,,"[96.78, 98.78, 6.83, 54.25, 45.03]",301.68,False
"(0, 1)",20240424_144247,,"[20.35, 92.55, 97.29, 3.48, 52.0, 43.29, 13.88]",322.85,False
"(0, 2)",20240424_144250,,"[20.35, 92.55, 97.28, 3.52, 52.0, 43.29, 13.88]",322.88,False
"(0, 3)",20240424_144253,,"[20.35, 92.31, 98.78, 2.24, 52.0, 43.29, 13.88]",322.85,False
"(0, 4)",20240424_144257,,"[20.35, 92.55, 99.03, 1.49, 52.25, 43.29, 13.88]",322.85,False
"(0, 5)",20240424_144300,,"[20.35, 92.31, 97.53, 3.24, 52.25, 43.29, 13.88]",322.85,False
"(0, 6)",20240424_144303,,"[20.6, 92.31, 97.28, 1.81, 1.24, 52.5, 43.29, 13.88]",322.91,False
"(0, 1)",20240424_145212,,"[20.35, 92.31, 97.53, 2.74, 52.75, 43.29, 13.88]",322.84,False
"(0, 2)",20240424_145215,,"[20.35, 92.31, 98.03, 2.24, 52.75, 43.29, 13.88]",322.84,False
"(0, 1)",20240424_145324,,"[20.6, 92.06, 97.78, 1.99, 53.49, 43.04, 14.13]",323.09,
"(0, 2)",20240424_145327,,"[20.1, 92.56, 98.03, 2.24, 52.75, 43.29, 13.88]",322.84,False
"(0, 3)",20240424_145330,,"[20.35, 92.31, 98.53, 1.74, 52.75, 43.29, 13.88]",322.84,False
"(0, 4)",20240424_145334,,"[20.35, 92.56, 95.33, 3.89, 2.24, 52.75, 43.29, 13.88]",324.28,False
"(0, 5)",20240424_145337,,"[20.35, 92.31, 97.53, 2.74, 52.75, 43.29, 13.88]",322.84,False
"(0, 6)",20240424_145349,,"[20.35, 92.56, 97.28, 2.74, 52.75, 43.29, 13.88]",322.84,False
"(0, 7)",20240424_145423,,"[20.35, 92.31, 97.78, 2.49, 52.75, 43.54, 13.88]",323.09,False
"(0, 8)",20240424_145426,,"[20.35, 92.31, 98.03, 2.24, 52.75, 43.54, 13.63]",322.84,False
"(0, 9)",20240424_145434,,"[20.35, 92.31, 97.78, 55.23, 43.29, 13.88]",322.84,False
"(0, 10)",20240424_145438,,"[20.1, 92.56, 98.03, 2.24, 52.99, 43.04, 13.88]",322.84,False
"(0, 1)",20240424_152214,,"[21.59, 93.3, 97.53, 51.25, 41.81, 13.88]",319.36,False
"(0, 2)",20240424_152220,,"[21.59, 93.3, 97.53, 51.25, 41.81, 13.88]",319.36,False
"(1, 0)",20240424_154258,,"[22.39, 93.55, 94.05, 54.24, 41.3, 14.68]",320.21,False
"(1, 0)",20240424_154419,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(2, 0)",20240424_154422,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(3, 0)",20240424_154426,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(4, 0)",20240424_154430,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(5, 0)",20240424_154433,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(6, 0)",20240424_154436,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(1, 0)",20240424_154539,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,
"(1, 0)",20240424_154613,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,
"(2, 0)",20240424_154618,,"[22.39, 93.55, 94.05, 54.24, 41.3, 14.68]",320.21,False
"(1, 0)",20240424_155306,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(2, 0)",20240424_155310,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,False
"(1, 0)",20240424_155411,,"[22.39, 93.55, 94.05, 53.99, 41.55, 14.68]",320.21,
"(1, 1)",20240424_155432,,"[22.39, 93.3, 94.3, 58.23, 37.58, 14.68]",320.48,False
"(1, 2)",20240424_155445,,"[22.64, 93.3, 94.3, 57.98, 37.59, 14.68]",320.49,False
"(2, 2)",20240424_155500,,"[22.64, 93.55, 93.8, 53.26, 42.82, 14.68]",320.74,False
"(3, 2)",20240424_155505,,"[22.64, 93.3, 94.05, 53.51, 42.57, 14.43]",320.5,False
"(3, 3)",20240424_155520,,"[95.48, 95.64, 52.78, 2.49, 42.59, 13.93]",302.92,False
"(3, 4)",20240424_155541,,"[95.34, 92.6, 58.22, 42.56, 13.93]",302.65,False
"(3, 5)",20240424_155546,,"[22.14, 93.55, 91.56, 56.48, 42.05, 14.68]",320.46,False
"(3, 6)",20240424_155549,,"[22.14, 93.55, 91.56, 56.48, 42.3, 14.68]",320.71,False
"(3, 7)",20240424_155609,,"[22.14, 188.09, 53.49, 42.05, 14.68]",320.45,False
