"KensaResult(OK,/NG)",KensaTime,KensaSagyoushaName,DetectedPitch,TotalLength,KensaYarinaoshi
"(0, 1)",20240326_161112,,"[16.42, 36.95, 31.23, 31.6, 41.8, 74.9, 65.86, 37.9, 14.81, 26.18]",377.65,
"(0, 1)",20240326_161205,,"[16.67, 40.78, 28.51, 31.35, 41.55, 75.14, 71.78, 32.88, 18.91, 29.15, 30.86]",417.57,
"(0, 1)",20240326_161825,,"[36.27, 121.71, 93.55, 47.02, 7.32, 21.84, 21.64]",349.36,
"(0, 2)",20240326_161828,,"[98.33, 93.05, 54.24, 28.62, 13.19, 17.05]",304.48,False
"(0, 1)",20240327_133241,,"[72.17, 93.05, 53.99, 24.03, 35.63, 14.94, 29.63]",323.44,
"(0, 2)",20240327_133302,,"[72.08, 93.05, 53.99, 24.03, 35.63, 14.94, 29.63]",323.35,False
"(1, 2)",20240327_133457,,"[16.67, 40.8, 54.99, 93.05, 93.8, 21.65]",320.95,False
"(2, 2)",20240327_133459,,"[16.67, 41.05, 54.74, 93.05, 93.8, 21.65]",320.95,False
"(3, 2)",20240327_133501,,"[16.67, 41.05, 54.99, 92.8, 93.8, 21.65]",320.95,False
"(4, 2)",20240327_133503,,"[16.67, 41.05, 54.99, 93.05, 93.55, 21.65]",320.95,False
"(5, 2)",20240327_133505,,"[16.67, 40.8, 54.99, 93.05, 93.8, 21.65]",320.95,False
"(1, 0)",20240327_133906,,"[16.42, 41.05, 54.99, 93.05, 93.8, 21.65]",320.96,False
"(1, 1)",20240327_133908,,"[40.8, 54.98, 93.05, 93.55, 21.65]",304.03,False
"(1, 2)",20240327_133912,,"[55.48, 93.05, 84.84, 9.47, 20.9]",263.74,False
"(1, 3)",20240327_133914,,"[55.23, 93.05, 84.34, 10.21, 20.65]",263.49,False
"(2, 3)",20240327_133916,,"[16.42, 41.05, 54.74, 93.05, 93.8, 21.89]",320.95,False
"(1, 0)",20240327_144751,,"[16.42, 41.05, 54.74, 93.05, 93.8, 21.89]",320.96,
"(2, 0)",20240327_144756,,"[16.67, 41.05, 54.74, 93.3, 93.55, 21.65]",320.95,False
"(3, 0)",20240327_144759,,"[16.67, 40.8, 54.99, 93.05, 93.8, 21.4]",320.71,False
"(4, 0)",20240327_144801,,"[16.42, 41.05, 54.49, 93.3, 93.8, 21.65]",320.71,False
"(5, 0)",20240327_144804,,"[16.67, 40.8, 54.74, 93.3, 93.8, 21.65]",320.96,False
"(6, 0)",20240327_144807,,"[16.67, 41.05, 54.74, 93.05, 94.05, 21.4]",320.95,False
"(7, 0)",20240327_144811,,"[16.67, 40.8, 54.99, 93.3, 93.55, 21.65]",320.95,False
"(8, 0)",20240327_144814,,"[16.67, 41.05, 54.99, 93.05, 93.55, 21.65]",320.96,False
"(9, 0)",20240327_144817,,"[16.67, 40.8, 54.74, 93.3, 93.55, 21.65]",320.71,False
"(10, 0)",20240327_144819,,"[16.42, 41.05, 54.49, 93.3, 93.8, 21.65]",320.71,False
"(11, 0)",20240327_144822,,"[16.67, 41.05, 54.74, 93.05, 93.8, 21.65]",320.95,False
"(12, 0)",20240327_144825,,"[16.67, 41.05, 54.98, 93.05, 93.8, 21.4]",320.96,False
"(13, 0)",20240327_144828,,"[16.92, 40.8, 54.99, 93.3, 93.55, 21.4]",320.95,False
"(14, 0)",20240327_144830,,"[16.67, 41.05, 54.74, 93.05, 93.55, 21.65]",320.71,False
"(15, 0)",20240327_144832,,"[16.42, 41.05, 54.74, 93.3, 93.55, 21.65]",320.71,False
"(16, 0)",20240327_144834,,"[16.42, 41.05, 54.49, 93.31, 93.8, 21.65]",320.71,False
"(17, 0)",20240327_144836,,"[16.67, 41.05, 54.74, 93.05, 93.8, 21.65]",320.95,False
"(18, 0)",20240327_144839,,"[16.67, 41.05, 54.74, 93.3, 93.55, 21.65]",320.95,False
"(19, 0)",20240327_144841,,"[16.67, 41.05, 54.74, 93.05, 93.8, 21.65]",320.95,False
"(20, 0)",20240327_144843,,"[16.92, 40.8, 54.98, 93.3, 93.55, 21.4]",320.95,False
"(0, 1)",20240327_145237,,"[16.92, 41.05, 54.74, 93.3, 85.34, 1.0, 9.18, 21.15]",322.67,
"(0, 2)",20240327_145239,,"[16.92, 41.05, 54.74, 93.3, 85.37, 9.37, 21.15]",321.89,False
"(0, 3)",20240327_145242,,"[16.92, 41.05, 54.74, 93.3, 85.09, 1.57, 8.82, 21.4]",322.89,False
"(1, 3)",20240327_145250,,"[16.42, 40.82, 55.24, 94.05, 94.32, 21.15]",322.0,False
"(2, 3)",20240327_145253,,"[16.42, 41.05, 54.99, 93.05, 93.55, 21.65]",320.71,False
"(2, 4)",20240327_145256,,"[16.92, 41.06, 54.74, 93.3, 82.86, 11.72, 21.4]",321.98,False
"(2, 5)",20240327_145259,,"[8.46, 7.61, 41.3, 55.23, 93.05, 93.55]",299.21,False
"(2, 6)",20240327_145302,,"[16.67, 41.7, 56.0, 95.61, 71.16]",281.14,False
"(2, 7)",20240327_145304,,"[16.42, 288.91, 20.4]",325.73,False
"(2, 8)",20240327_145307,,"[59.21, 56.51, 95.39, 95.16, 19.41]",325.68,False
"(3, 8)",20240327_150133,,"[16.67, 40.81, 55.24, 93.05, 93.55, 21.65]",320.96,False
"(4, 8)",20240327_150136,,"[17.17, 40.8, 54.99, 93.05, 93.55, 21.65]",321.21,False
"(5, 8)",20240327_150139,,"[16.42, 41.05, 54.74, 93.05, 93.55, 22.14]",320.96,False
"(6, 8)",20240327_150141,,"[16.92, 40.8, 54.99, 93.3, 93.55, 21.65]",321.2,False
"(7, 8)",20240327_150144,,"[16.42, 41.05, 54.99, 93.05, 93.55, 21.89]",320.96,False
